NOME;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021
ALUNO-729;2.0;G;Rede Decisão;Ingressante;Ametista;7.319;7.5;6.3;6.9;8.8;7.7;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.1;5.0;Nível 3 (7o e 8o ano);-1.0
ALUNO-730;;;;;;;;;;;;;;;;;;;;
ALUNO-731;3.0;F;Escola Pública;Veterano;Ametista;7.021;7.1;6.9;6.3;5.6;7.3;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.2;10.0;Nível 3 (7o e 8o ano);0.0
ALUNO-732;;;;;;;;;;;;;;;;;;;;
ALUNO-733;2.0;L;Escola Pública;Veterano;Ametista;7.399;7.4;7.5;7.5;5.4;8.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.4;10.0;Nível 2 (5o e 6o ano);0.0
ALUNO-734;;;;;;;;;;;;;;;;;;;;
ALUNO-735;;;;;;;;;;;;;;;;;;;;
ALUNO-736;5.0;L;Rede Decisão;Veterano;Topázio;8.269;8.8;8.6;7.5;7.1;8.0;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;8.5;10.0;Nível 5 (1o EM);0.0
ALUNO-737;;;;;;;;;;;;;;;;;;;;
ALUNO-738;;;;;;;;;;;;;;;;;;;;
ALUNO-739;1.0;A;Rede Decisão;Veterano;Topázio;8.990;9.0;10.0;6.3;8.8;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Sim;9.7;10.0;Nível 1 (4o ano);0.0
ALUNO-740;;;;;;;;;;;;;;;;;;;;
ALUNO-741;0.0;T;Escola Pública;Ingressante;Quartzo;3.413;8.0;0.0;7.5;0.8;0.0;Não avaliado;Não avaliado;Não avaliado;Não avaliado;Não;6.0;5.0;Nível 1 (4o ano);-1.0
ALUNO-742;;;;;;;;;;;;;;;;;;;;
ALUNO-743;;;;;;;;;;;;;;;;;;;;
ALUNO-744;;;;;;;;;;;;;;;;;;;;
ALUNO-745;1.0;G;Escola Pública;Veterano;Ágata;6.140;9.5;4.2;7.5;2.6;8.4;Não avaliado;Mantido na Fase atual;Mantido na Fase + Bolsa;Não avaliado;Não;8.8;5.0;Nível 3 (7o e 8o ano);-2.0
ALUNO-746;4.0;F;Escola Pública;Veterano;Ágata;5.666;10.0;3.3;6.3;5.3;7.7;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;Não;5.2;5.0;Nível 5 (1o EM);-1.0
